"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2018-Q1","T1-2018",5.813,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2018-Q4","T4-2018",4.997,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2018-Q3","T3-2018",3.73,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2019","2019",6.366,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2019-Q1","T1-2019",4.989,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2019-Q2","T2-2019",6.723,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2019-Q4","T4-2019",6.843,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2019-Q3","T3-2019",6.909,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2020","2020",4.472,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2020-Q2","T2-2020",5.54,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2020-Q1","T1-2020",5.322,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2020-Q3","T3-2020",3.203,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2020-Q4","T4-2020",3.824,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2021","2021",3.781,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2022","2022",6.891,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2021-Q1","T1-2021",0.983,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2021-Q2","T2-2021",2.284,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2021-Q3","T3-2021",4.766,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2021-Q4","T4-2021",7.091,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2022-Q1","T1-2022",6.01,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2022-Q2","T2-2022",7.305,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2022-Q3","T3-2022",6.891,,
"IT","Italia","2","femmine","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2022-Q4","T4-2022",7.357,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2018","2018",222.745,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2018-Q2","T2-2018",219.116,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2018-Q1","T1-2018",211.962,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2018-Q4","T4-2018",227.234,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2018-Q3","T3-2018",232.668,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2019","2019",215.978,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2019-Q1","T1-2019",207.281,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2019-Q2","T2-2019",216.37,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2019-Q4","T4-2019",225.896,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2019-Q3","T3-2019",214.363,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2020","2020",211.709,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2020-Q2","T2-2020",178.955,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2020-Q1","T1-2020",218.337,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2020-Q3","T3-2020",215.279,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2020-Q4","T4-2020",234.266,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2021","2021",218.135,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2022","2022",235.681,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2021-Q1","T1-2021",227.555,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2021-Q2","T2-2021",213.907,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2021-Q3","T3-2021",204.485,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2021-Q4","T4-2021",226.593,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2022-Q1","T1-2022",223.169,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2022-Q2","T2-2022",238.111,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2022-Q3","T3-2022",235.047,,
"IT","Italia","1","maschi","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2022-Q4","T4-2022",246.396,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2018","2018",227.601,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2018-Q2","T2-2018",224.001,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2018-Q1","T1-2018",217.775,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2018-Q4","T4-2018",232.231,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2018-Q3","T3-2018",236.398,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2019","2019",222.343,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2019-Q1","T1-2019",212.27,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2019-Q2","T2-2019",223.092,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2019-Q4","T4-2019",232.739,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2019-Q3","T3-2019",221.272,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2020","2020",216.182,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2020-Q2","T2-2020",184.495,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2020-Q1","T1-2020",223.659,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2020-Q3","T3-2020",218.482,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2020-Q4","T4-2020",238.09,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2021","2021",221.916,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2022","2022",242.572,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2021-Q1","T1-2021",228.539,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2021-Q2","T2-2021",216.192,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2021-Q3","T3-2021",209.251,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2021-Q4","T4-2021",233.684,,
"IT","Italia","9","totale","Y15-89","15-89 anni","99","totale","FRG","straniero-a","2022-Q1","T1-2022",229.179,,
