DATAFLOW,LAST UPDATE,freq,unit,sex,isced11,c_birth,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT,2013,31.9,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT,2014,29.0,b
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT,2015,28.2,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT,2016,29.0,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT,2017,29.2,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT,2018,27.7,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT,2019,28.0,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT,2020,27.7,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT,2021,27.1,b
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT,2022,27.0,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT1,2013,31.6,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT1,2014,28.1,b
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT1,2015,27.9,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT1,2016,28.5,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT1,2017,29.0,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT1,2018,26.5,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT1,2019,27.7,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT1,2020,27.6,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT1,2021,27.1,b
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT1,2022,26.7,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT11,2013,26.4,u
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT11,2014,20.6,bu
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT11,2015,20.5,u
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT11,2016,23.3,u
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT11,2017,21.9,u
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT11,2018,22.8,u
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT11,2019,23.5,u
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT11,2020,23.5,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT11,2021,24.6,b
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT11,2022,20.4,u
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT12,2013,32.3,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT12,2014,27.8,b
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT12,2015,29.1,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT12,2016,32.5,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT12,2017,31.5,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT12,2018,25.0,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT12,2019,27.0,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT12,2020,29.1,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT12,2021,29.2,b
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT12,2022,27.1,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT13,2013,31.6,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT13,2014,28.5,b
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED0-2,FOR,Y15-64,AT13,2015,27.9,
