"ITTER107","Territory","SEXISTAT1","Gender","ETA1","Age class","TITOLO_STUDIO","Highest level of education attained","CITTADINANZA","Citizenship","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q2","Q2-2021",161.29,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q3","Q3-2021",178.666,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q4","Q4-2021",167.199,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q1","Q1-2022",140.943,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q2","Q2-2022",151.199,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q3","Q3-2022",165.078,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q4","Q4-2022",162.058,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2018","2018",120.654,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q2","Q2-2018",121.119,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q1","Q1-2018",111.689,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q4","Q4-2018",130.669,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q3","Q3-2018",119.14,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2019","2019",126.585,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q1","Q1-2019",121.282,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q2","Q2-2019",121.167,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q4","Q4-2019",129.48,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q3","Q3-2019",134.413,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2020","2020",131.403,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q2","Q2-2020",121.615,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q1","Q1-2020",129.859,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q3","Q3-2020",138.491,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q4","Q4-2020",135.648,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2021","2021",134.626,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2022","2022",127.328,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q1","Q1-2021",118.632,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q2","Q2-2021",130.183,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q3","Q3-2021",147.06,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q4","Q4-2021",142.63,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q1","Q1-2022",115.603,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q2","Q2-2022",126.308,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q3","Q3-2022",131.058,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q4","Q4-2022",136.344,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2018","2018",4.856,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q2","Q2-2018",4.885,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q1","Q1-2018",5.813,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q4","Q4-2018",4.997,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q3","Q3-2018",3.73,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2019","2019",6.366,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q1","Q1-2019",4.989,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q2","Q2-2019",6.723,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q4","Q4-2019",6.843,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q3","Q3-2019",6.909,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2020","2020",4.472,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q2","Q2-2020",5.54,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q1","Q1-2020",5.322,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q3","Q3-2020",3.203,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q4","Q4-2020",3.824,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2021","2021",3.781,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2022","2022",6.891,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q1","Q1-2021",0.983,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q2","Q2-2021",2.284,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q3","Q3-2021",4.766,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q4","Q4-2021",7.091,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q1","Q1-2022",6.01,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q2","Q2-2022",7.305,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q3","Q3-2022",6.891,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q4","Q4-2022",7.357,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2018","2018",222.745,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q2","Q2-2018",219.116,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q1","Q1-2018",211.962,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q4","Q4-2018",227.234,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q3","Q3-2018",232.668,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2019","2019",215.978,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q1","Q1-2019",207.281,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q2","Q2-2019",216.37,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q4","Q4-2019",225.896,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q3","Q3-2019",214.363,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2020","2020",211.709,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q2","Q2-2020",178.955,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q1","Q1-2020",218.337,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q3","Q3-2020",215.279,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q4","Q4-2020",234.266,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2021","2021",218.135,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2022","2022",235.681,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q1","Q1-2021",227.555,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q2","Q2-2021",213.907,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q3","Q3-2021",204.485,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q4","Q4-2021",226.593,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q1","Q1-2022",223.169,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q2","Q2-2022",238.111,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q3","Q3-2022",235.047,,
"IT","Italy","1","males","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q4","Q4-2022",246.396,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2018","2018",227.601,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q2","Q2-2018",224.001,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q1","Q1-2018",217.775,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q4","Q4-2018",232.231,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q3","Q3-2018",236.398,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2019","2019",222.343,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q1","Q1-2019",212.27,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q2","Q2-2019",223.092,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q4","Q4-2019",232.739,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q3","Q3-2019",221.272,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2020","2020",216.182,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q2","Q2-2020",184.495,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q1","Q1-2020",223.659,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q3","Q3-2020",218.482,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q4","Q4-2020",238.09,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2021","2021",221.916,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2022","2022",242.572,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q1","Q1-2021",228.539,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q2","Q2-2021",216.192,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q3","Q3-2021",209.251,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q4","Q4-2021",233.684,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q1","Q1-2022",229.179,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q2","Q2-2022",245.415,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q3","Q3-2022",241.938,,
"IT","Italy","9","total","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q4","Q4-2022",253.754,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2018","2018",27.036,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q2","Q2-2018",33.109,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q1","Q1-2018",20.211,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q4","Q4-2018",22.483,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q3","Q3-2018",32.34,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2019","2019",30.868,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q1","Q1-2019",23.593,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q2","Q2-2019",28.587,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q4","Q4-2019",33.585,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q3","Q3-2019",37.705,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2020","2020",29.647,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q2","Q2-2020",26.696,,
"IT","Italy","2","females","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q1","Q1-2020",23.974,,
