DATAFLOW,LAST UPDATE,freq,unit,sex,isced11,c_birth,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y15-64,IT,2013,11.1,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y15-64,IT,2014,11.4,b
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y15-64,IT,2015,12.1,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y15-64,IT,2016,11.7,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y15-64,IT,2017,12.3,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y15-64,IT,2018,12.7,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y15-64,IT,2019,12.6,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y15-64,IT,2020,12.2,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y15-64,IT,2021,11.9,b
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y15-64,IT,2022,12.2,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y25-64,IT,2013,12.4,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y25-64,IT,2014,12.8,b
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y25-64,IT,2015,13.5,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y25-64,IT,2016,13.0,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y25-64,IT,2017,13.6,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y25-64,IT,2018,14.0,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y25-64,IT,2019,13.8,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y25-64,IT,2020,13.3,
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y25-64,IT,2021,12.8,b
ESTAT:EDAT_LFS_9917(1.0),14/09/23 23:00:00,A,PC,T,ED5-8,FOR,Y25-64,IT,2022,13.2,
