Territory,Citizenship,Year,UNEMP_ED_1,UNEMP_ED_3,total,UNEMP_ED_2
Centro (I),foreign,2018,15.155626666666668,10.804080666666666,14.453227333333333,14.836709999999998
Centro (I),foreign,2019,13.568436666666665,11.434287,14.846058333333334,17.514611
Centro (I),foreign,2020,13.153745666666666,8.624534666666667,12.778524666666668,13.542031666666666
Centro (I),foreign,2021,13.241852666666666,18.102599666666666,15.194500333333332,16.586291333333335
Centro (I),foreign,2022,12.723967333333334,12.505328999999998,12.980379999999998,13.377199666666668
Centro (I),italian,2018,11.356605333333334,4.986897666666667,8.676383,9.377720333333334
Centro (I),italian,2019,9.827092333333333,5.102060666666667,7.718597,8.193193666666668
Centro (I),italian,2020,10.372889,5.024784333333333,7.629936333333333,7.821124
Centro (I),italian,2021,11.100708666666668,4.150023999999999,7.694963,8.114135
Centro (I),italian,2022,8.462975,3.369946666666667,6.059123333333333,6.500167333333334
Mezzogiorno,foreign,2018,15.570274333333332,17.189989999999998,16.046919666666668,16.964262666666666
Mezzogiorno,foreign,2019,16.924578999999998,16.836757666666667,17.526526,19.247072666666668
Mezzogiorno,foreign,2020,19.020708666666668,17.95048733333333,18.871393333333334,18.68959
Mezzogiorno,foreign,2021,20.928653666666666,19.874336,20.808092666666667,20.727722
Mezzogiorno,foreign,2022,19.00020566666667,17.563798,18.971048,19.229423333333333
Mezzogiorno,italian,2018,24.215727666666666,11.038761333333333,18.566454333333336,17.254203666666665
Mezzogiorno,italian,2019,23.17033033333333,10.296681,17.661178666666668,16.685488333333335
Mezzogiorno,italian,2020,21.780618333333333,9.218435999999999,16.074188333333332,14.9017
Mezzogiorno,italian,2021,21.733578333333337,8.411085,16.175574,15.629899
Mezzogiorno,italian,2022,19.364638,6.812686666666667,14.076778,13.592163999999999
Nord,foreign,2018,14.491530666666668,9.137413333333333,13.131091333333332,12.781868666666666
Nord,foreign,2019,13.519575000000001,10.391808,12.223271333333335,11.192228333333333
Nord,foreign,2020,12.179854666666666,10.897148999999999,12.009306666666667,12.133323666666668
Nord,foreign,2021,12.367512333333332,11.026851666666667,12.264354333333335,12.495782666666665
Nord,foreign,2022,10.421101666666667,8.387245333333333,9.768999333333333,9.457003666666667
Nord,italian,2018,7.663050000000001,3.335926333333333,5.599697333333334,5.546832666666667
Nord,italian,2019,7.548570000000001,3.097107,5.170382666666667,4.881866333333334
Nord,italian,2020,6.954853666666668,3.2240073333333332,5.135752666666666,5.120105666666666
Nord,italian,2021,7.227654,2.9750110000000003,5.0872003333333335,4.995005
Nord,italian,2022,6.388568333333333,2.391241,4.355184666666666,4.254452333333333
Nord-est,foreign,2018,15.381984000000001,9.819867333333333,13.479951999999999,12.619294333333334
Nord-est,foreign,2019,14.406747000000001,10.068177,12.455571666666666,11.210479
Nord-est,foreign,2020,12.020517666666668,11.987181333333334,11.897270333333333,11.754628333333335
Nord-est,foreign,2021,11.021123666666668,9.334387666666666,10.495161,10.315789666666667
Nord-est,foreign,2022,10.030182333333334,6.208407666666666,8.828886333333333,8.471354333333332
Nord-est,italian,2018,6.678413333333334,3.1399679999999996,4.941271333333333,4.849491
Nord-est,italian,2019,6.202183000000001,3.2483606666666667,4.454878666666667,4.127024
Nord-est,italian,2020,6.316249,3.2606836666666665,4.876394666666666,4.927195666666667
Nord-est,italian,2021,6.39721,2.7773066666666666,4.5295543333333335,4.436289666666666
Nord-est,italian,2022,5.598281,2.2091576666666666,3.8375009999999996,3.730644
Nord-ovest,foreign,2018,13.942549999999999,8.657254333333332,12.883017666666667,12.920238
Nord-ovest,foreign,2019,12.974600333333333,10.642936,12.051909,11.175750666666667
Nord-ovest,foreign,2020,12.277352666666667,9.928719666666666,12.096274666666668,12.508221999999998
Nord-ovest,foreign,2021,13.224712666666667,12.471010666666666,13.596371333333332,14.408136999999998
Nord-ovest,foreign,2022,10.672936333333334,10.163093,10.498555,10.377461
Nord-ovest,italian,2018,8.359876,3.4741703333333334,6.087053,6.088358666666667
Nord-ovest,italian,2019,8.479392666666667,2.9877563333333335,5.700288333333333,5.468788333333333
Nord-ovest,italian,2020,7.408153666666666,3.1971976666666664,5.328483333333334,5.268204333333333
Nord-ovest,italian,2021,7.805801333333334,3.1203913333333335,5.497646666666667,5.419123
Nord-ovest,italian,2022,6.945923666666666,2.522901,4.736643333333333,4.653365333333333
