,Year,Territory,ACT_ED_1,ACT_ED_1,ACT_ED_2,ACT_ED_2,ACT_ED_3,ACT_ED_3,UNEMP_ED_1,UNEMP_ED_1,UNEMP_ED_2,UNEMP_ED_2,UNEMP_ED_3,UNEMP_ED_3,total_x,total_x,total_y,total_y
Citizenship,,,foreign,italian,foreign,italian,foreign,italian,foreign,italian,foreign,italian,foreign,italian,foreign,italian,foreign,italian
0,2018,Centro (I),70.98561766666667,52.889158333333334,75.70860233333333,71.41853266666666,77.12419,83.54688800000001,15.155626666666668,11.356605333333334,14.836709999999998,9.377720333333334,10.804080666666666,4.986897666666667,14.453227333333333,8.676383,73.572533,67.79427266666666
1,2018,Mezzogiorno,66.097724,41.577883,67.18787200000001,59.85770233333333,71.54466500000001,74.639067,15.570274333333332,24.215727666666666,16.964262666666666,17.254203666666665,17.189989999999998,11.038761333333333,16.046919666666668,18.566454333333336,66.715357,53.233826
2,2018,Nord,68.28975866666667,55.320979666666666,78.39547666666667,75.86370266666667,76.686424,86.14179633333333,14.491530666666668,7.663050000000001,12.781868666666666,5.546832666666667,9.137413333333333,3.335926333333333,13.131091333333332,5.599697333333334,72.931198,70.32975066666667
3,2018,Nord-est,67.47383433333333,55.55684566666667,79.70873366666666,76.65679033333333,76.487557,85.72421800000001,15.381984000000001,6.678413333333334,12.619294333333334,4.849491,9.819867333333333,3.1399679999999996,13.479951999999999,4.941271333333333,73.37692833333334,70.800658
4,2018,Nord-ovest,68.80266133333333,55.15669966666667,77.31331733333333,75.26049666666667,76.82749033333334,86.43932033333333,13.942549999999999,8.359876,12.920238,6.088358666666667,8.657254333333332,3.4741703333333334,12.883017666666667,6.087053,72.61767233333333,69.98546566666666
5,2019,Centro (I),70.61560533333333,52.150329666666664,76.77695833333333,71.00120633333334,75.93707966666666,83.86903733333334,13.568436666666665,9.827092333333333,17.514611,8.193193666666668,11.434287,5.102060666666667,14.846058333333334,7.718597,73.53952466666667,67.64294566666666
6,2019,Mezzogiorno,66.05539533333334,40.64278933333333,63.178155333333336,60.145473,65.841146,75.09764666666666,16.924578999999998,23.17033033333333,19.247072666666668,16.685488333333335,16.836757666666667,10.296681,17.526526,17.661178666666668,65.24718566666667,53.163170666666666
7,2019,Nord,68.25751766666667,55.70874833333334,78.43068433333333,76.024817,76.713407,85.91028033333333,13.519575000000001,7.548570000000001,11.192228333333333,4.881866333333334,10.391808,3.097107,12.223271333333335,5.170382666666667,72.89959033333334,70.67699433333333
8,2019,Nord-est,67.704574,55.29582133333333,79.93875133333334,77.44756733333334,76.943319,85.43621333333333,14.406747000000001,6.202183000000001,11.210479,4.127024,10.068177,3.2483606666666667,12.455571666666666,4.454878666666667,73.71938033333333,71.25262099999999
9,2019,Nord-ovest,68.60170933333333,55.99860833333333,77.10920733333333,74.95501133333333,76.536952,86.25669266666667,12.974600333333333,8.479392666666667,11.175750666666667,5.468788333333333,10.642936,2.9877563333333335,12.051909,5.700288333333333,72.306542,70.25683033333334
10,2020,Centro (I),66.39947000000001,49.991570333333335,70.11022733333334,69.85272266666666,68.671068,82.418189,13.153745666666666,10.372889,13.542031666666666,7.821124,8.624534666666667,5.024784333333333,12.778524666666668,7.629936333333333,68.004095,66.14007733333334
11,2020,Mezzogiorno,61.716367,38.80917866666667,57.00363733333333,57.09239766666667,55.00540566666666,74.37193733333334,19.020708666666668,21.780618333333333,18.68959,14.9017,17.95048733333333,9.218435999999999,18.871393333333334,16.074188333333332,59.997374666666666,51.099076333333336
12,2020,Nord,62.08090633333333,53.970334,74.937094,73.92169466666667,71.332343,84.27163466666667,12.179854666666666,6.954853666666668,12.133323666666668,5.120105666666666,10.897148999999999,3.2240073333333332,12.009306666666667,5.135752666666666,67.63969300000001,68.90694366666666
13,2020,Nord-est,62.68816133333333,54.44561266666667,77.87507633333333,74.92259866666667,75.43706633333333,83.74043266666666,12.020517666666668,6.316249,11.754628333333335,4.927195666666667,11.987181333333334,3.2606836666666665,11.897270333333333,4.876394666666666,70.30411733333334,69.57389933333333
14,2020,Nord-ovest,61.71620633333333,53.64003833333333,72.23965666666668,73.17179800000001,68.043631,84.66457100000001,12.277352666666667,7.408153666666666,12.508221999999998,5.268204333333333,9.928719666666666,3.1971976666666664,12.096274666666668,5.328483333333334,65.71101433333334,68.41970966666666
15,2021,Centro (I),66.44278833333334,50.522212,73.098578,70.39984266666666,71.376057,83.89939499999998,13.241852666666666,11.100708666666668,16.586291333333335,8.114135,18.102599666666666,4.150023999999999,15.194500333333332,7.694963,69.614376,66.84804766666666
16,2021,Mezzogiorno,63.32046966666667,39.703685666666665,59.350414,58.786052000000005,58.843585999999995,75.41276366666666,20.928653666666666,21.733578333333337,20.727722,15.629899,19.874336,8.411085,20.808092666666667,16.175574,61.88884866666666,52.383435666666664
17,2021,Nord,64.76965966666667,54.16331766666667,76.26109266666667,74.06197166666666,74.72164566666667,85.55360566666667,12.367512333333332,7.227654,12.495782666666665,4.995005,11.026851666666667,2.9750110000000003,12.264354333333335,5.0872003333333335,70.15918566666666,69.21362766666667
18,2021,Nord-est,63.913195333333334,54.174218,77.88256766666666,74.41002366666667,77.03671733333333,85.298496,11.021123666666668,6.39721,10.315789666666667,4.436289666666666,9.334387666666666,2.7773066666666666,10.495161,4.5295543333333335,71.090152,69.50569066666667
19,2021,Nord-ovest,65.327416,54.156985,74.89358566666667,73.80046933333334,72.853186,85.74234866666666,13.224712666666667,7.805801333333334,14.408136999999998,5.419123,12.471010666666666,3.1203913333333335,13.596371333333332,5.497646666666667,69.47462033333333,69.00033933333333
