,Territory,Citizenship,Year,UNEMP_ED_1,UNEMP_ED_3,total_x,UNEMP_ED_2,ACT_ED_1,ACT_ED_3,total_y,ACT_ED_2
5,Centro (I),italian,2018,11.356605333333334,4.986897666666667,8.676383,9.377720333333334,52.889158333333334,83.54688800000001,67.79427266666666,71.41853266666666
6,Centro (I),italian,2019,9.827092333333333,5.102060666666667,7.718597,8.193193666666668,52.150329666666664,83.86903733333334,67.64294566666666,71.00120633333334
7,Centro (I),italian,2020,10.372889,5.024784333333333,7.629936333333333,7.821124,49.991570333333335,82.418189,66.14007733333334,69.85272266666666
8,Centro (I),italian,2021,11.100708666666668,4.150023999999999,7.694963,8.114135,50.522212,83.89939499999998,66.84804766666666,70.39984266666666
9,Centro (I),italian,2022,8.462975,3.369946666666667,6.059123333333333,6.500167333333334,51.609045,83.92315933333333,67.99549,71.82883533333334
15,Mezzogiorno,italian,2018,24.215727666666666,11.038761333333333,18.566454333333336,17.254203666666665,41.577883,74.639067,53.233826,59.85770233333333
16,Mezzogiorno,italian,2019,23.17033033333333,10.296681,17.661178666666668,16.685488333333335,40.64278933333333,75.09764666666666,53.163170666666666,60.145473
17,Mezzogiorno,italian,2020,21.780618333333333,9.218435999999999,16.074188333333332,14.9017,38.80917866666667,74.37193733333334,51.099076333333336,57.09239766666667
18,Mezzogiorno,italian,2021,21.733578333333337,8.411085,16.175574,15.629899,39.703685666666665,75.41276366666666,52.383435666666664,58.786052000000005
19,Mezzogiorno,italian,2022,19.364638,6.812686666666667,14.076778,13.592163999999999,40.33104133333333,75.94216300000001,53.174318,59.487310666666666
25,Nord,italian,2018,7.663050000000001,3.335926333333333,5.599697333333334,5.546832666666667,55.320979666666666,86.14179633333333,70.32975066666667,75.86370266666667
26,Nord,italian,2019,7.548570000000001,3.097107,5.170382666666667,4.881866333333334,55.70874833333334,85.91028033333333,70.67699433333333,76.024817
27,Nord,italian,2020,6.954853666666668,3.2240073333333332,5.135752666666666,5.120105666666666,53.970334,84.27163466666667,68.90694366666666,73.92169466666667
28,Nord,italian,2021,7.227654,2.9750110000000003,5.0872003333333335,4.995005,54.16331766666667,85.55360566666667,69.21362766666667,74.06197166666666
29,Nord,italian,2022,6.388568333333333,2.391241,4.355184666666666,4.254452333333333,54.84958866666667,86.30740766666666,70.25373766666667,75.35558166666667
35,Nord-est,italian,2018,6.678413333333334,3.1399679999999996,4.941271333333333,4.849491,55.55684566666667,85.72421800000001,70.800658,76.65679033333333
36,Nord-est,italian,2019,6.202183000000001,3.2483606666666667,4.454878666666667,4.127024,55.29582133333333,85.43621333333333,71.25262099999999,77.44756733333334
37,Nord-est,italian,2020,6.316249,3.2606836666666665,4.876394666666666,4.927195666666667,54.44561266666667,83.74043266666666,69.57389933333333,74.92259866666667
38,Nord-est,italian,2021,6.39721,2.7773066666666666,4.5295543333333335,4.436289666666666,54.174218,85.298496,69.50569066666667,74.41002366666667
39,Nord-est,italian,2022,5.598281,2.2091576666666666,3.8375009999999996,3.730644,55.00348400000001,86.23249,70.747591,76.07489166666666
45,Nord-ovest,italian,2018,8.359876,3.4741703333333334,6.087053,6.088358666666667,55.15669966666667,86.43932033333333,69.98546566666666,75.26049666666667
46,Nord-ovest,italian,2019,8.479392666666667,2.9877563333333335,5.700288333333333,5.468788333333333,55.99860833333333,86.25669266666667,70.25683033333334,74.95501133333333
47,Nord-ovest,italian,2020,7.408153666666666,3.1971976666666664,5.328483333333334,5.268204333333333,53.64003833333333,84.66457100000001,68.41970966666666,73.17179800000001
48,Nord-ovest,italian,2021,7.805801333333334,3.1203913333333335,5.497646666666667,5.419123,54.156985,85.74234866666666,69.00033933333333,73.80046933333334
49,Nord-ovest,italian,2022,6.945923666666666,2.522901,4.736643333333333,4.653365333333333,54.74192133333333,86.36194033333334,69.894383,74.81709033333334
