àùTerritory,Year,Sex,Age,Quantity
IT,2019,Male,42,52279
IT,2020,Male,42,53622
IT,2021,Male,42,56498
IT,2022,Male,42,55222
IT,2023,Male,42,56297
IT,2019,Male,43,50311
IT,2020,Male,43,51604
IT,2021,Male,43,54049
IT,2022,Male,43,54588
IT,2023,Male,43,53375
IT,2019,Male,44,47545
IT,2020,Male,44,49731
IT,2021,Male,44,51839
IT,2022,Male,44,52292
IT,2023,Male,44,52501
IT,2019,Male,45,43445
IT,2020,Male,45,46711
IT,2021,Male,45,50319
IT,2022,Male,45,50145
IT,2023,Male,45,50350
IT,2019,Male,46,42929
IT,2020,Male,46,42627
IT,2021,Male,46,47139
IT,2022,Male,46,48407
IT,2023,Male,46,48147
IT,2019,Male,47,39397
IT,2020,Male,47,42220
IT,2021,Male,47,43044
IT,2022,Male,47,45459
IT,2023,Male,47,46465
IT,2019,Male,48,39512
IT,2020,Male,48,38833
IT,2021,Male,48,42733
IT,2022,Male,48,41467
IT,2023,Male,48,43525
IT,2019,Male,49,37455
IT,2020,Male,49,38755
IT,2021,Male,49,39214
IT,2022,Male,49,40910
IT,2023,Male,49,39613
IT,2019,Male,5,33130
IT,2020,Male,5,33495
IT,2021,Male,5,34794
IT,2022,Male,5,33887
IT,2023,Male,5,33857
IT,2019,Male,50,37064
IT,2020,Male,50,36751
IT,2021,Male,50,39128
IT,2022,Male,50,37445
IT,2023,Male,50,39030
IT,2019,Male,51,33251
IT,2020,Male,51,36299
IT,2021,Male,51,37061
IT,2022,Male,51,37536
IT,2023,Male,51,35779
IT,2019,Male,52,28119
IT,2020,Male,52,32686
IT,2021,Male,52,36312
IT,2022,Male,52,35569
IT,2023,Male,52,35774
IT,2019,Male,53,26487
IT,2020,Male,53,27608
IT,2021,Male,53,32684
IT,2022,Male,53,34916
IT,2023,Male,53,33900
IT,2019,Male,54,24838
IT,2020,Male,54,26007
IT,2021,Male,54,27748
IT,2022,Male,54,31385
IT,2023,Male,54,33143
IT,2019,Male,55,22732
IT,2020,Male,55,24336
IT,2021,Male,55,26067
IT,2022,Male,55,26606
IT,2023,Male,55,29929
IT,2019,Male,56,21439
IT,2020,Male,56,22403
IT,2021,Male,56,24403
IT,2022,Male,56,25003
IT,2023,Male,56,25318
IT,2019,Male,57,18670
IT,2020,Male,57,21030
IT,2021,Male,57,22186
IT,2022,Male,57,23442
IT,2023,Male,57,23739
IT,2019,Male,58,18547
IT,2020,Male,58,18328
IT,2021,Male,58,20715
IT,2022,Male,58,21356
IT,2023,Male,58,22225
IT,2019,Male,59,15997
IT,2020,Male,59,18251
IT,2021,Male,59,17950
IT,2022,Male,59,19893
IT,2023,Male,59,20213
IT,2019,Male,6,33656
IT,2020,Male,6,32722
IT,2021,Male,6,33117
IT,2022,Male,6,33194
IT,2023,Male,6,33477
IT,2019,Male,60,14966
IT,2020,Male,60,15690
IT,2021,Male,60,17731
IT,2022,Male,60,17126
IT,2023,Male,60,18863
IT,2019,Male,61,13376
IT,2020,Male,61,14718
IT,2021,Male,61,15194
IT,2022,Male,61,16849
IT,2023,Male,61,16207
IT,2019,Male,62,12125
IT,2020,Male,62,13115
IT,2021,Male,62,14046
IT,2022,Male,62,14475
IT,2023,Male,62,15921
IT,2019,Male,63,10923
IT,2020,Male,63,11857
IT,2021,Male,63,12261
IT,2022,Male,63,13335
IT,2023,Male,63,13697
IT,2019,Male,64,9521
IT,2020,Male,64,10728
IT,2021,Male,64,11200
IT,2022,Male,64,11645
IT,2023,Male,64,12585
IT,2019,Male,65,8181
IT,2020,Male,65,9365
IT,2021,Male,65,10169
IT,2022,Male,65,10551
IT,2023,Male,65,11017
IT,2019,Male,66,7424
IT,2020,Male,66,8095
IT,2021,Male,66,8786
IT,2022,Male,66,9585
IT,2023,Male,66,9964
IT,2019,Male,67,6292
IT,2020,Male,67,7368
IT,2021,Male,67,7463
IT,2022,Male,67,8138
IT,2023,Male,67,9078
IT,2019,Male,68,6263
IT,2020,Male,68,6254
IT,2021,Male,68,6750
IT,2022,Male,68,6899
IT,2023,Male,68,7636
IT,2019,Male,69,5407
IT,2020,Male,69,6234
IT,2021,Male,69,5705
IT,2022,Male,69,6343
IT,2023,Male,69,6504
IT,2019,Male,7,31805
IT,2020,Male,7,33073
IT,2021,Male,7,32268
IT,2022,Male,7,33229
IT,2023,Male,7,32866
IT,2019,Male,70,4849
IT,2020,Male,70,5398
IT,2021,Male,70,5741
IT,2022,Male,70,5341
IT,2023,Male,70,6059
IT,2019,Male,71,4224
IT,2020,Male,71,4816
IT,2021,Male,71,4947
IT,2022,Male,71,5350
IT,2023,Male,71,5057
IT,2019,Male,72,3723
IT,2020,Male,72,4197
IT,2021,Male,72,4472
IT,2022,Male,72,4593
IT,2023,Male,72,5042
IT,2019,Male,73,3163
IT,2020,Male,73,3642
IT,2021,Male,73,3810
IT,2022,Male,73,4058
IT,2023,Male,73,4278
IT,2019,Male,74,3018
IT,2020,Male,74,3109
IT,2021,Male,74,3285
IT,2022,Male,74,3521
IT,2023,Male,74,3789
IT,2019,Male,75,2765
IT,2020,Male,75,2958
IT,2021,Male,75,2862
IT,2022,Male,75,2974
IT,2023,Male,75,3286
IT,2019,Male,76,2794
IT,2020,Male,76,2706
IT,2021,Male,76,2670
IT,2022,Male,76,2565
IT,2023,Male,76,2767
